獲取時間,商品名稱,價錢
2021-12-03 02:27:45 PM,海盜戰記VINLAND SAGA (4)（電子書）,55
2021-12-03 02:27:45 PM,Tino小安安 嬰兒潔膚濕巾-加厚型 (80抽/包),55
2021-12-03 02:27:45 PM,【AQUA水】濕式衛生紙(48抽/包),59
2021-12-03 02:27:45 PM,必安住《抗菌》潔膚柔濕巾100抽,65
2021-12-03 02:27:45 PM,添寧 潔膚濕巾(40抽/包),65
2021-12-03 02:27:45 PM,Personal Care凡士林精煉護膚凝膠 3.53oz/100g,65
2021-12-03 02:27:45 PM,安安 成人柔護濕巾-加大型 (48抽/包),65
2021-12-03 02:27:45 PM,來復易 吸水淨爽輕薄少量型(19cm*22片/包),69
2021-12-03 02:27:45 PM,來復易 吸水淨爽輕薄少量型(22片/包),69
2021-12-03 02:27:45 PM,【立得清】酒 精 擦濕紙巾-清潔抗菌(10抽x3包),69
2021-12-03 02:27:45 PM,【安親】加蓋抑菌濕紙巾 (80抽/包),69
2021-12-03 02:27:45 PM,美國 Vaseline 凡士林-49g/1.75oz,75
2021-12-03 02:27:45 PM,Lucky Super Soft凡士林精煉護膚凝膠6oz/170g,75
2021-12-03 02:27:45 PM,童針織彈性對花平口褲-9780,79
2021-12-03 02:27:45 PM,護得住超乾爽吸水棉19cm(26片/包),79
2021-12-03 02:27:45 PM,來復易 瞬吸安心漏尿專用棉墊中量型 (16片/包),79
2021-12-03 02:27:45 PM,護得住超乾爽吸水棉28cm(11片/包),79
2021-12-03 02:27:45 PM,來復易 瞬吸安心漏尿專用棉墊 特多量34cm (8片/包),79
2021-12-03 02:27:45 PM,來復易 吸水淨爽輕薄中量型(16片/包),79
2021-12-03 02:27:45 PM,Goomi 初秋新裝，口碑熱賣【小童內搭褲】粉白條,79
獲取時間,商品名稱,價錢
2021-12-03 02:37:52 PM,海盜戰記VINLAND SAGA (4)（電子書）,55
2021-12-03 02:37:52 PM,Tino小安安 嬰兒潔膚濕巾-加厚型 (80抽/包),55
2021-12-03 02:37:52 PM,【AQUA水】濕式衛生紙(48抽/包),59
2021-12-03 02:37:52 PM,必安住《抗菌》潔膚柔濕巾100抽,65
2021-12-03 02:37:52 PM,添寧 潔膚濕巾(40抽/包),65
2021-12-03 02:37:52 PM,Personal Care凡士林精煉護膚凝膠 3.53oz/100g,65
2021-12-03 02:37:52 PM,安安 成人柔護濕巾-加大型 (48抽/包),65
2021-12-03 02:37:52 PM,來復易 吸水淨爽輕薄少量型(19cm*22片/包),69
2021-12-03 02:37:52 PM,來復易 吸水淨爽輕薄少量型(22片/包),69
2021-12-03 02:37:52 PM,【立得清】酒 精 擦濕紙巾-清潔抗菌(10抽x3包),69
2021-12-03 02:37:52 PM,【安親】加蓋抑菌濕紙巾 (80抽/包),69
2021-12-03 02:37:52 PM,美國 Vaseline 凡士林-49g/1.75oz,75
2021-12-03 02:37:52 PM,Lucky Super Soft凡士林精煉護膚凝膠6oz/170g,75
2021-12-03 02:37:52 PM,童針織彈性對花平口褲-9780,79
2021-12-03 02:37:52 PM,護得住超乾爽吸水棉19cm(26片/包),79
2021-12-03 02:37:52 PM,來復易 瞬吸安心漏尿專用棉墊中量型 (16片/包),79
2021-12-03 02:37:52 PM,護得住超乾爽吸水棉28cm(11片/包),79
2021-12-03 02:37:52 PM,來復易 瞬吸安心漏尿專用棉墊 特多量34cm (8片/包),79
2021-12-03 02:37:52 PM,來復易 吸水淨爽輕薄中量型(16片/包),79
2021-12-03 02:37:52 PM,Goomi 初秋新裝，口碑熱賣【小童內搭褲】粉白條,79
